Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2023-2025,1,00-0000,"Total, All Occupations",19920000,20412400,492400,2.5,1981550,2469420,4943370,24.73,51450,N/A,N/A,N/A
State,California,2023-2025,2,11-0000,Management Occupations,1669600,1705600,36000,2.2,102730,153320,292050,63.90,132918,N/A,N/A,N/A
State,California,2023-2025,3,11-1000,Top Executives,335600,342000,6400,1.9,17520,34380,58300,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,11-1011,Chief Executives,51800,51500,-300,-0.6,3190,3590,6480,104.13,0,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-1021,General and Operations Managers,281500,288100,6600,2.3,14180,30600,51380,57.11,118793,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-1031,Legislators,2300,2300,0,0.0,140,190,330,0.00,61446,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",187100,189500,2400,1.3,9010,18930,30340,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,11-2011,Advertising and Promotions Managers,5200,5200,0,0.0,210,690,900,65.40,136038,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-2021,Marketing Managers,60300,61100,800,1.3,2880,6580,10260,81.59,0,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-2022,Sales Managers,108600,109900,1300,1.2,5320,10500,17120,63.81,132734,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-2032,Public Relations Managers,9200,9500,300,3.3,420,820,1540,74.82,155630,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-2033,Fundraising Managers,3800,3900,100,2.6,170,340,610,58.84,122372,Bachelor's degree,5 years or more,None
State,California,2023-2025,3,11-3000,Operations Specialties Managers,361700,371500,9800,2.7,18850,31840,60490,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,11-3012,Administrative Services Managers,37400,38400,1000,2.7,2660,3130,6790,51.81,107748,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-3013,Facilities Managers,20700,21300,600,2.9,1350,1800,3750,50.09,104188,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-3021,Computer and Information Systems Managers,97500,99800,2300,2.4,3840,8750,14890,97.55,0,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-3031,Financial Managers,105000,109100,4100,3.9,5510,8740,18350,79.84,166073,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-3051,Industrial Production Managers,25400,25700,300,1.2,1240,2180,3720,60.75,126370,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-3061,Purchasing Managers,8200,8400,200,2.4,480,730,1410,72.32,150418,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-3071,"Transportation, Storage, and Distribution Managers",31000,31600,600,1.9,1770,3130,5500,48.53,100955,High school diploma or equivalent,5 years or more,None
State,California,2023-2025,4,11-3111,Compensation and Benefits Managers,2600,2700,100,3.8,120,200,420,66.00,137283,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-3121,Human Resources Managers,27900,28300,400,1.4,1600,2550,4550,76.39,158883,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-3131,Training and Development Managers,6000,6100,100,1.7,290,630,1020,64.22,133581,Bachelor's degree,5 years or more,None
State,California,2023-2025,3,11-9000,Other Management Occupations,785200,802700,17500,2.2,57350,68180,143030,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",109800,105200,-4600,-4.2,15030,7160,17590,47.45,98702,High school diploma or equivalent,5 years or more,None
State,California,2023-2025,4,11-9021,Construction Managers,61300,64200,2900,4.7,3140,5690,11730,58.74,122189,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,11-9031,"Education and Childcare Administrators, Preschool and Daycare",10600,10900,300,2.8,590,830,1720,29.70,61762,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-9032,"Education Administrators, Kindergarten through Secondary",28600,29100,500,1.7,1580,2210,4290,0.00,134488,Master's degree,5 years or more,None
State,California,2023-2025,4,11-9039,"Education Administrators, All Other",14300,14600,300,2.1,790,1110,2200,48.95,101812,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-9041,Architectural and Engineering Managers,36100,37300,1200,3.3,1450,3130,5780,87.81,0,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-9051,Food Service Managers,61500,64000,2500,4.1,4580,9240,16320,30.57,63568,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
State,California,2023-2025,4,11-9072,"Entertainment and Recreation Managers, Except Gambling",8800,9500,700,8.0,740,1180,2620,30.92,64312,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-9081,Lodging Managers,7600,8100,500,6.6,590,920,2010,30.68,63812,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,11-9111,Medical and Health Services Managers,56700,61400,4700,8.3,3290,4880,12870,64.67,134498,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-9121,Natural Sciences Managers,14400,14700,300,2.1,700,1310,2310,93.15,0,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,11-9141,"Property, Real Estate, and Community Association Managers",76600,78600,2000,2.6,6520,5270,13790,31.27,65026,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
State,California,2023-2025,4,11-9151,Social and Community Service Managers,31100,32900,1800,5.8,2070,2860,6730,36.74,76407,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,11-9171,Funeral Home Managers,2100,2100,0,0.0,130,180,310,38.20,79457,Associate's degree,Less than 5 years,None
State,California,2023-2025,4,11-9179,"Personal Service Managers, All Other",5000,5200,200,4.0,310,430,940,29.58,61518,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,11-9199,"Managers, All Other",228500,232100,3600,1.6,14060,19240,36900,79.77,165920,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,2,13-0000,Business and Financial Operations Occupations,1288800,1316000,27200,2.1,81120,125270,233590,39.64,82455,N/A,N/A,N/A
State,California,2023-2025,3,13-1000,Business Operations Specialists,921600,941200,19600,2.1,58740,93500,171840,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",10100,10800,700,6.9,870,1100,2670,51.91,107972,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,13-1020,Buyers and Purchasing Agents,52700,52400,-300,-0.6,3890,5560,9150,37.34,77652,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-1031,"Claims Adjusters, Examiners, and Investigators",23000,22800,-200,-0.9,1170,1890,2860,39.05,81231,High school diploma or equivalent,None,Long-term on-the-job training
State,California,2023-2025,4,13-1032,"Insurance Appraisers, Auto Damage",1700,1700,0,0.0,90,140,230,34.18,71084,Postsecondary non-degree award,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-1041,Compliance Officers,47800,48600,800,1.7,3330,3980,8110,39.34,81813,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-1051,Cost Estimators,31100,31700,600,1.9,2030,3110,5740,39.21,81558,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-1071,Human Resources Specialists,97100,98100,1000,1.0,5830,10130,16960,37.98,79008,Bachelor's degree,None,None
State,California,2023-2025,4,13-1075,Labor Relations Specialists,7000,7200,200,2.9,430,740,1370,48.95,101812,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,13-1081,Logisticians,26400,27600,1200,4.5,1460,2800,5460,40.79,84862,Bachelor's degree,None,None
State,California,2023-2025,4,13-1082,Project Management Specialists,105200,108100,2900,2.8,4880,9820,17600,51.04,106177,Bachelor's degree,None,None
State,California,2023-2025,4,13-1111,Management Analysts,142500,146300,3800,2.7,9940,13290,27030,41.68,86698,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,13-1121,"Meeting, Convention, and Event Planners",17500,18200,700,4.0,1460,2230,4390,29.00,60324,Bachelor's degree,None,None
State,California,2023-2025,4,13-1131,Fundraisers,9000,9300,300,3.3,550,790,1640,32.45,67504,Bachelor's degree,None,None
State,California,2023-2025,4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",13000,13200,200,1.5,770,1030,2000,38.53,80140,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,13-1151,Training and Development Specialists,38600,39600,1000,2.6,2380,4110,7490,35.03,72858,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,13-1161,Market Research Analysts and Marketing Specialists,111200,114300,3100,2.8,7060,13130,23290,37.38,77744,Bachelor's degree,None,None
State,California,2023-2025,4,13-1199,"Business Operations Specialists, All Other",187000,190600,3600,1.9,12570,19590,35760,36.99,76948,Bachelor's degree,None,None
State,California,2023-2025,3,13-2000,Financial Specialists,367300,374800,7500,2.0,22390,31770,61660,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,13-2011,Accountants and Auditors,171200,176600,5400,3.2,10740,15750,31890,41.01,85301,Bachelor's degree,None,None
State,California,2023-2025,4,13-2020,Property Appraisers and Assessors,6100,6200,100,1.6,600,410,1110,40.51,84260,Bachelor's degree,None,Long-term on-the-job training
State,California,2023-2025,4,13-2031,Budget Analysts,5700,5800,100,1.8,330,410,840,47.69,99181,Bachelor's degree,None,None
State,California,2023-2025,4,13-2041,Credit Analysts,7600,7400,-200,-2.6,340,690,830,39.48,82129,Bachelor's degree,None,None
State,California,2023-2025,4,13-2051,Financial and Investment Analysts,32700,33300,600,1.8,1420,2700,4720,50.48,105004,Bachelor's degree,None,None
State,California,2023-2025,4,13-2052,Personal Financial Advisors,39300,40100,800,2.0,2140,2740,5680,50.15,104301,Bachelor's degree,None,Long-term on-the-job training
State,California,2023-2025,4,13-2053,Insurance Underwriters,7300,7200,-100,-1.4,440,560,900,45.35,94326,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-2054,Financial Risk Specialists,4700,4800,100,2.1,220,400,720,51.12,106330,Bachelor's degree,None,None
State,California,2023-2025,4,13-2061,Financial Examiners,4300,4400,100,2.3,280,340,720,46.93,97620,Bachelor's degree,None,Long-term on-the-job training
State,California,2023-2025,4,13-2071,Credit Counselors,2200,2200,0,0.0,120,180,300,28.64,59560,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2023-2025,4,13-2072,Loan Officers,40300,39400,-900,-2.2,2120,3250,4470,31.01,64506,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
